,algorithm,dim,difficulty,index_map,distance,ram,time
0,bfs,10,F,1,18.0,26779.0,0.001741575004416518
1,bfs,10,F,2,18.0,26779.0,0.0016364479961339384
2,bfs,10,F,3,18.0,26779.0,0.001748527996824123
3,bfs,10,F,4,18.0,26779.0,0.0016165109991561621
4,bfs,10,F,5,18.0,26779.0,0.0016117320046760142
5,bfs,10,F,6,18.0,26779.0,0.0016584890108788386
6,bfs,10,F,7,18.0,26779.0,0.001630056998692453
7,bfs,10,F,8,18.0,26779.0,0.0016408869996666908
8,bfs,10,F,9,18.0,26779.0,0.0016428309900220484
9,bfs,10,F,10,18.0,26779.0,0.001656054999330081
10,kohonen,10,F,1,20.000446383401634,28811.0,128.49381068100047
11,kohonen,10,F,2,20.078644323508357,28811.0,129.02010804699967
12,kohonen,10,F,3,20.1204693598843,28811.0,128.81366494500253
13,kohonen,10,F,4,20.395496737430765,28811.0,127.44962915500219
14,kohonen,10,F,5,21.549009232689844,28811.0,125.30058985300275
15,kohonen,10,F,6,17.286693175310145,28811.0,126.87894566400064
16,kohonen,10,F,7,20.643470290766253,28811.0,126.53734468899711
17,kohonen,10,F,8,17.600674739117316,28811.0,127.70412525199936
18,kohonen,10,F,9,21.773998748638824,28811.0,125.33123629200054
19,kohonen,10,F,10,20.838653516663445,28811.0,124.95934025099996
20,prog_din,10,F,1,18.0,26779.0,0.0171112300013192
21,prog_din,10,F,2,18.0,26779.0,0.015553378005279228
22,prog_din,10,F,3,18.0,26779.0,0.014782297992496751
23,prog_din,10,F,4,18.0,26779.0,0.01496327698987443
24,prog_din,10,F,5,18.0,26779.0,0.0151191659970209
25,prog_din,10,F,6,18.0,26779.0,0.014241775992559269
26,prog_din,10,F,7,18.0,26779.0,0.013970468993647955
27,prog_din,10,F,8,18.0,26779.0,0.014781455000047572
28,prog_din,10,F,9,18.0,26779.0,0.014271633001044393
29,prog_din,10,F,10,18.0,26779.0,0.014134197001112625
30,bfs,10,M,1,18.0,26779.0,0.001660854002693668
31,bfs,10,M,2,18.0,26779.0,0.001525540996226482
32,bfs,10,M,3,18.0,26779.0,0.0014991120115155354
33,bfs,10,M,4,18.0,26779.0,0.001760450002620928
34,bfs,10,M,5,18.0,26779.0,0.0014924689894542098
35,bfs,10,M,6,18.0,26779.0,0.0015627410029992461
36,bfs,10,M,7,18.0,26779.0,0.0015943100006552413
37,bfs,10,M,8,18.0,26779.0,0.0018266840052092448
38,bfs,10,M,9,18.0,26779.0,0.0014075100043555722
39,bfs,10,M,10,18.0,26779.0,0.0015747230063425377
40,kohonen,10,M,1,79.58722154879095,28811.0,129.63309934800054
41,kohonen,10,M,2,24.102180589885485,28811.0,126.735370057002
42,kohonen,10,M,3,22.863813180664906,28811.0,126.32621929999732
43,kohonen,10,M,4,18.001419844749243,28811.0,126.4321063440002
44,kohonen,10,M,5,33469339.62567086,28811.0,126.08166936999987
45,kohonen,10,M,6,25.003344679201835,28811.0,128.0134101329968
46,kohonen,10,M,7,19.773998411207597,28811.0,130.42491746700034
47,kohonen,10,M,8,18.460630142851315,28811.0,128.82761594099793
48,kohonen,10,M,9,7283.384631946471,28811.0,129.12604687899875
49,kohonen,10,M,10,41.45792551130606,28811.0,129.65079177499865
50,prog_din,10,M,1,18.0,26779.0,0.012457051008823328
51,prog_din,10,M,2,18.0,26779.0,0.013310356996953487
52,prog_din,10,M,3,18.0,26779.0,0.01407747800112702
53,prog_din,10,M,4,18.0,26779.0,0.013718689006054774
54,prog_din,10,M,5,18.0,26779.0,0.013286481000250205
55,prog_din,10,M,6,18.0,26779.0,0.014231357999960892
56,prog_din,10,M,7,18.0,26779.0,0.013473981991410255
57,prog_din,10,M,8,18.0,26779.0,0.013947556988568977
58,prog_din,10,M,9,18.0,26779.0,0.012833354994654655
59,prog_din,10,M,10,18.0,26779.0,0.014021565002622083
60,bfs,10,D,1,18.0,26779.0,0.0015132789994822815
61,bfs,10,D,2,18.0,26779.0,0.0013289729977259412
62,bfs,10,D,3,18.0,26779.0,0.0011598770070122555
63,bfs,10,D,4,18.0,26779.0,0.0013741779985139146
64,bfs,10,D,5,18.0,26779.0,0.0012649139971472323
65,bfs,10,D,6,18.0,26779.0,0.0016309779894072562
66,bfs,10,D,7,18.0,26779.0,0.0011862270039273426
67,bfs,10,D,8,18.0,26779.0,0.0012420410057529807
68,bfs,10,D,9,18.0,26779.0,0.0011062679986935109
69,bfs,10,D,10,18.0,26779.0,0.001200112994411029
70,kohonen,10,D,1,18.88042236883321,28811.0,133.35181392900267
71,kohonen,10,D,2,324249.44880908594,28811.0,136.4581748849996
72,kohonen,10,D,3,inf,35670.0,142.55902756400246
73,kohonen,10,D,4,31.404277847431416,28811.0,137.24045463199946
74,kohonen,10,D,5,904498223.1295952,28811.0,141.50380863400278
75,kohonen,10,D,6,18.77887044546336,28811.0,137.86048986099922
76,kohonen,10,D,7,1.244830599813928e+102,28811.0,137.27002870200158
77,kohonen,10,D,8,528.4100006340195,28811.0,137.14065588499943
78,kohonen,10,D,9,1.5224019437056347e+140,28811.0,137.47348578600213
79,kohonen,10,D,10,2.571018044960697e+50,28811.0,139.66479090099892
80,prog_din,10,D,1,18.0,26779.0,0.013120050003635697
81,prog_din,10,D,2,18.0,26779.0,0.01219913900422398
82,prog_din,10,D,3,18.0,26779.0,0.009887528998660855
83,prog_din,10,D,4,18.0,26779.0,0.012045752999256365
84,prog_din,10,D,5,18.0,26779.0,0.012434289004886523
85,prog_din,10,D,6,18.0,26779.0,0.014029669997398742
86,prog_din,10,D,7,18.0,26779.0,0.010599270011880435
87,prog_din,10,D,8,18.0,26779.0,0.011779164997278713
88,prog_din,10,D,9,18.0,26779.0,0.010574411993729882
89,prog_din,10,D,10,18.0,26779.0,0.011486538001918234
90,bfs,20,F,1,38.0,79084.0,0.007098286994732916
91,bfs,20,F,2,38.0,74324.0,0.00741604198992718
92,bfs,20,F,3,38.0,80156.0,0.007191690994659439
93,bfs,20,F,4,38.0,78308.0,0.0072870080039137974
94,bfs,20,F,5,38.0,78460.0,0.00723958999151364
95,bfs,20,F,6,38.0,77228.0,0.007440025990945287
96,bfs,20,F,7,38.0,77580.0,0.0069074600032763556
97,bfs,20,F,8,38.0,76180.0,0.007743932990706526
98,bfs,20,F,9,38.0,79084.0,0.009284341998863965
99,bfs,20,F,10,38.0,79676.0,0.007286777006811462
100,kohonen,20,F,1,53.279171364329535,29131.0,262.6090409710014
101,kohonen,20,F,2,57.20687838997504,29131.0,271.3505976380002
102,kohonen,20,F,3,53.681863264531735,29131.0,258.8132863209976
103,kohonen,20,F,4,54.08250529560384,29131.0,275.25257985200005
104,kohonen,20,F,5,51.36760112920103,29131.0,273.5672189750003
105,kohonen,20,F,6,50.01418533737706,29131.0,275.4203488870007
106,kohonen,20,F,7,51.60919032064549,29131.0,272.5314969209976
107,kohonen,20,F,8,52.853255475082285,29131.0,275.31149477599683
108,kohonen,20,F,9,53.993221948787564,29131.0,272.00757476999934
109,kohonen,20,F,10,59.02935112523145,29131.0,261.64304409300166
110,prog_din,20,F,1,38.0,26779.0,0.07014486700063571
111,prog_din,20,F,2,38.0,26779.0,0.06946483300998807
112,prog_din,20,F,3,38.0,26779.0,0.06889311799022835
113,prog_din,20,F,4,38.0,26779.0,0.06906214100308716
114,prog_din,20,F,5,38.0,26779.0,0.07087401699391194
115,prog_din,20,F,6,38.0,26779.0,0.0684597099898383
116,prog_din,20,F,7,38.0,26779.0,0.07047100599447731
117,prog_din,20,F,8,38.0,26779.0,0.06896235700696707
118,prog_din,20,F,9,38.0,26779.0,0.07060301100136712
119,prog_din,20,F,10,38.0,26779.0,0.06905600799655076
120,bfs,20,M,1,38.0,68340.0,0.0063287180091720074
121,bfs,20,M,2,38.0,77148.0,0.006316264989436604
122,bfs,20,M,3,38.0,70364.0,0.006442751997383311
123,bfs,20,M,4,38.0,72652.0,0.0063895519997458905
124,bfs,20,M,5,38.0,74060.0,0.007084311000653543
125,bfs,20,M,6,38.0,72828.0,0.006430758992792107
126,bfs,20,M,7,38.0,74060.0,0.007603410995216109
127,bfs,20,M,8,38.0,77492.0,0.006139456003438681
128,bfs,20,M,9,38.0,76812.0,0.007177515988587402
129,bfs,20,M,10,38.0,71812.0,0.006065396009944379
130,kohonen,20,M,1,57.067291927926696,29131.0,252.0334150710005
131,kohonen,20,M,2,801.3278802817716,29131.0,250.7476863869997
132,kohonen,20,M,3,52.8426836092072,29131.0,250.26670723200004
133,kohonen,20,M,4,53.96928176074241,29131.0,257.02669806799895
134,kohonen,20,M,5,55.05120468593218,29131.0,270.96739451599933
135,kohonen,20,M,6,47.336000880422745,29131.0,267.0269793949992
136,kohonen,20,M,7,45.99684515391209,29131.0,262.6261222430003
